claim,page_reference,evidence_tier,source_citation,source_url_or_doi,notes
"Mindfulness meditation improves executive attention with small, consistent effects: Hedges' g = 0.29 for interventions and g = 0.32 comparing long-term meditators to non-meditators",docs/03-construct-audit.md,Moderate,"Sumantry, D., & Stewart, K. E. (2021). Meditation, mindfulness, and attention: A meta-analysis. Mindfulness, 12(6), 1332-1349.",https://doi.org/10.1007/s12671-021-01637-2,Effects concentrated narrowly in conflict inhibition and executive control.
"Mindfulness meditation in healthy adults has a small overall effect (g = 0.20) with modest effects on attention/executive control, but no significant effect on working memory",docs/03-construct-audit.md,Moderate,"Yakobi, O., Smilek, D., & Danckert, J. (2021). The effects of mindfulness meditation on attention, executive control and working memory in healthy adults: A meta-analysis of RCTs. Cognitive Therapy and Research, 45(4), 543-560.",https://doi.org/10.1007/s10608-020-10177-3,Meta-analysis restricted to randomized controlled trials in healthy adult populations.
Mindfulness meditation produces small improvements in executive attention but limited or inconsistent evidence for alerting or orienting attention networks,docs/03-construct-audit.md,Weak,"Sharpe, P. (2021). The effects of mindfulness meditation on attention regulation (Doctoral thesis). University of Plymouth.",https://pearl.plymouth.ac.uk/handle/10026.1/17498,Doctoral meta-analysis and primary experimental series yielding null effects on alerting/orienting.
"The number of formal in-class meditation sessions, but not total intervention hours, significantly moderates attentional effect sizes",docs/03-construct-audit.md,Preliminary,"Yakobi, O., Smilek, D., & Danckert, J. (2021). The effects of mindfulness meditation on attention, executive control and working memory in healthy adults: A meta-analysis of RCTs. Cognitive Therapy and Research, 45(4), 543-560.",https://doi.org/10.1007/s10608-020-10177-3,Authors suggest session count reflects participant compliance and motivation rather than purely neurobiological dose-response.
"Meditation programs show moderate evidence for anxiety (ES = 0.38 at 8 weeks), depression (ES = 0.30), and pain (ES = 0.33), but low evidence of any effect on attention specifically",docs/03-construct-audit.md; docs/07-objections.md,Strong,"Goyal, M., Singh, S., Sibinga, E. M. S., et al. (2014). Meditation programs for psychological stress and well-being: A systematic review and meta-analysis. JAMA Internal Medicine, 174(3), 357-368.",https://doi.org/10.1001/jamainternmed.2013.13018,"Rigorous systematic review of 47 RCTs (n = 3,515); found no evidence meditation outperforms active behavioral treatments; attention gains negligible."
"Human Development Index (HDI) geometric mean aggregation ignores net wealth distribution, quality-of-goods differences, and inequality",docs/02-existing-indices.md,Strong,UNDP (1990). Human Development Report technical notes. United Nations Development Programme.,https://hdr.undp.org/data-center/human-development-index,"Recognized limitation leading to companion indices (IHDI, GII, MPI) to measure inequality."
The Social Progress Index (SPI) equal weighting of 12 components assumes each contributes identically and independently to social progress without statistical or theoretical justification,docs/02-existing-indices.md; docs/04-causal-model-and-index-design.md,Strong,"Jitmaneeroj, B. (2017). Beyond the equal-weight framework of the Social Progress Index: A quantile regression approach. International Journal of Social Economics, 44(12), 2336-2350.",https://doi.org/10.1108/IJSE-06-2016-0171,Demonstrated that equal weighting introduces distortion due to collinearity and unequal component impact.
"The Social Progress Index (SPI) components encode predominantly Western liberal normative assumptions, with lowest-ranked nations concentrated outside that framework",docs/02-existing-indices.md; docs/06-cross-cultural-and-ethics.md,Moderate,"Porter, M. E., Stern, S., & Green, M. (2017). Social Progress Index 2017: Methodological Report. Social Progress Imperative.",https://www.socialprogress.org/,Documented critique regarding the Opportunity and Inclusiveness pillars reflecting Western institutional models.
World Happiness Report pooled OLS regression of national life evaluations against six determinants captures correlation rather than causal relationships,docs/02-existing-indices.md,Moderate,"Helliwell, J. F., Layard, R., & Sachs, J. (2018). World Happiness Report 2018. Sustainable Development Solutions Network.",https://worldhappiness.report/ed/2018/,Single-item subjective wellbeing metric deliberately excluding normative evaluations of societal structure.
Multidimensional Poverty Index (MPI) dual-cutoff counting method prevents high achievement in one dimension from compensating for acute deprivation in another,docs/02-existing-indices.md; docs/04-causal-model-and-index-design.md,Strong,"Alkire, S., & Foster, J. (2011). Counting and multidimensional poverty measurement. Journal of Public Economics, 95(7-8), 476-487.",https://doi.org/10.1016/j.jpubeco.2011.01.010,Foundational methodology for non-compensatory identification of joint deprivation.
"Composite indicator development requires sensitivity and uncertainty analysis across weighting, normalization, and aggregation assumptions",docs/02-existing-indices.md; docs/04-causal-model-and-index-design.md,Strong,OECD & European Commission Joint Research Centre. (2008). Handbook on Constructing Composite Indicators: Methodology and User Guide. OECD Publishing.,https://doi.org/10.1787/9789264043466-en,Standard international econometric handbook for composite indicator auditing and uncertainty modeling.
Intellectual humility can be reliably measured as cognitive and interpersonal willingness to acknowledge intellectual fallibility,docs/03-construct-audit.md; docs/05-measurement-and-experiments.md,Strong,"Leary, M. R., Diebels, K. J., Jongman-Sereno, K. P., et al. (2017). Cognitive and interpersonal features of intellectual humility. Personality and Social Psychology Bulletin, 43(6), 793-813.",https://doi.org/10.1177/0146167217697294,Psychometric validation of the Comprehensive Intellectual Humility Scale (CIHS).
Cognitive Reflection Test (CRT) measures the disposition to override intuitive heuristic responses in favor of effortful reflection,docs/03-construct-audit.md; docs/09-final-recommendation.md,Strong,"Frederick, S. (2005). Cognitive reflection and decision making. Journal of Economic Perspectives, 19(4), 25-42.",https://doi.org/10.1257/089533005775196732,Validated 3-item cognitive reflection measure; susceptible to test-retest familiarity contamination.
"The Intolerance of Uncertainty Scale (IUS-12) short form reliably measures cognitive, emotional, and behavioral reactions to ambiguous situations",docs/03-construct-audit.md; docs/05-measurement-and-experiments.md,Strong,"Carleton, R. N., Norton, M. P. J., & Asmundson, G. J. G. (2007). Fearing the unknown: A short version of the Intolerance of Uncertainty Scale. Journal of Anxiety Disorders, 21(1), 105-117.",https://doi.org/10.1016/j.janxdis.2006.03.014,Validated 12-item bifactor scale measuring prospective and inhibitory anxiety.
Metacognitive monitoring sensitivity can be quantified independently of response bias using type-2 signal detection (meta-d'),docs/03-construct-audit.md; docs/05-measurement-and-experiments.md,Strong,"Fleming, S. M., & Lau, H. C. (2014). How to measure metacognition. Frontiers in Human Neuroscience, 8, Article 443.",https://doi.org/10.3389/fnhum.2014.00443,Standard psychophysical framework for separating subjective confidence bias from objective metacognitive accuracy.
"AI literacy is measurable across affective, behavioral, cognitive, and ethical dimensions with strong internal reliability",docs/03-construct-audit.md; docs/05-measurement-and-experiments.md,Strong,"Ng, D. T. K., Luo, W., Chan, H. M. Y., & Chu, S. K. W. (2024). Design and validation of the AI literacy questionnaire. British Journal of Educational Technology, 55(3), 1082-1104.",https://doi.org/10.1111/bjet.13437,Validation of the 4-dimensional AI Literacy Questionnaire (AILQ) across student and adult cohorts.
"AI literacy conceptualization encompasses foundational knowledge, collaboration skills, and critical evaluation of societal impacts",docs/03-construct-audit.md,Moderate,"Ng, D. T. K., Leung, J. K. L., Chu, S. K. W., & Qiao, M. S. (2021). Conceptualizing AI literacy: An exploratory review. Computers and Education: Artificial Intelligence, 2, 100041.",https://doi.org/10.1016/j.caeai.2021.100041,Literature synthesis establishing the conceptual taxonomy for multi-attribute AI competency.
"UNESCO AI competency frameworks define structured AI readiness across knowledge, skills, and values for students and educators",docs/03-construct-audit.md; docs/05-measurement-and-experiments.md,Strong,UNESCO. (2024). AI Competency Framework for Teachers and AI Competency Framework for Students. UNESCO Publishing.,https://www.unesco.org/en/articles/ai-competency-frameworks-students-and-teachers,Standardized international competency frameworks published by the United Nations.
"OECD/European Commission AI Literacy Framework structures competencies into system mechanics, human-AI collaboration, and societal impacts",docs/03-construct-audit.md,Strong,OECD & European Commission. (2026). AI Literacy Framework for Primary and Secondary Education. OECD Publishing.,https://www.oecd.org/education/ceri/ai-literacy-framework.htm,Multi-national curriculum benchmark establishing formal AI literacy dimensions.
Autonomous decisional agency is empirically distinguishable from competence and technical capability,docs/04-causal-model-and-index-design.md,Strong,"Deci, E. L., & Ryan, R. M. (2000). The 'what' and 'why' of goal pursuits: Human needs and the self-determination of behavior. Psychological Inquiry, 11(4), 227-268.",https://doi.org/10.1207/S15327965PLI1104_01,Self-Determination Theory (SDT) foundational distinction between volition (autonomy) and efficacy (competence).
AI efficiency at optimizing means causally increases the human necessity for explicit clarity regarding normative ends,docs/01-definition.md; docs/04-causal-model-and-index-design.md; docs/07-objections.md,[UNVERIFIED — NEEDS SOURCE],[UNVERIFIED — NEEDS SOURCE],N/A (No verifiable empirical study exists),Philosophical and theoretical proposition; lacks direct empirical validation in human-AI interaction literature.
A validated psychological index measuring readiness for AI cognitive asymmetry already exists in published scientific literature,docs/03-construct-audit.md; docs/08-roadmap.md; docs/09-final-recommendation.md,[UNVERIFIED — NEEDS SOURCE],[UNVERIFIED — NEEDS SOURCE],N/A (No published instrument exists),Represents the core proposed research gap; no such composite instrument currently exists.
Executive attention and conflict inhibition are reliably separable from alerting and orienting networks using the Attention Network Test (ANT),docs/03-construct-audit.md,Strong,"Fan, J., McCandliss, B. D., Sommer, T., Raz, A., & Posner, M. I. (2002). Testing the efficiency and independence of attentional networks. Journal of Cognitive Neuroscience, 14(3), 340-347.",https://doi.org/10.1162/089892902317361886,"Neuropsychological task isolating executive conflict resolution, alerting, and spatial orienting."
Subjective trust in automated systems diverges from objectively measured reliance behavior under decision pressure,docs/03-construct-audit.md; docs/05-measurement-and-experiments.md,Strong,"Lee, J. D., & See, K. A. (2004). Trust in automation: Designing for appropriate reliance. Human Factors, 46(1), 50-80.",https://doi.org/10.1518/hfes.46.1.50_30392,Reviews empirical literature warning against relying strictly on subjective trust questionnaires.
Overlapping input and output pillars in innovation indices creates conceptual collinearity and risks tautological scoring,docs/02-existing-indices.md,Moderate,"WIPO, Cornell University, & INSEAD. (2020). Global Innovation Index 2020: Methodological and Statistical Audit. WIPO Publishing.",https://www.globalinnovationindex.org/,Econometric audit detailing structural overlap between institutional inputs and creative outputs.
Cross-cultural differences alter the construct meaning of individual autonomy and agency between individualist and collectivist frameworks,docs/06-cross-cultural-and-ethics.md,Strong,"Deci, E. L., & Ryan, R. M. (2000). The 'what' and 'why' of goal pursuits: Human needs and the self-determination of behavior. Psychological Inquiry, 11(4), 227-268.",https://doi.org/10.1207/S15327965PLI1104_01,Cultural variation necessitates multi-group confirmatory factor analysis (MGCFA) invariance testing.
AI sycophancy (models adapting output to agree with user biases) systematically reduces user critical verification and analytical scrutiny,docs/05-measurement-and-experiments.md,Preliminary,"Sharma, M., Tong, M., Korbak, T., et al. (2023). Towards understanding sycophancy in language models. arXiv preprint arXiv:2310.13548.",https://arxiv.org/abs/2310.13548,"Demonstrates that models tailor arguments to match user preferences regardless of truth, degrading critical evaluation."
Transactive memory and cognitive offloading to GPS navigation tools systematically reduces spatial environmental memory,docs/03-construct-audit.md,Strong,"Risko, E. F., & Gilbert, S. J. (2016). Cognitive offloading. Trends in Cognitive Sciences, 20(9), 676-688.",https://doi.org/10.1016/j.tics.2016.07.002,Established cognitive offloading effect replicated across spatial navigation trials.
Equal weighting in multidimensional composite indices distorts relative country rankings when indicator correlations are strong,docs/02-existing-indices.md; docs/04-causal-model-and-index-design.md,Strong,"Greco, S., Ishizaka, A., Tasiou, M., & Torrisi, G. (2019). On the methodological framework of composite indices: A review of the issues of weighting, aggregation, and robustness. Social Indicators Research, 141(1), 61-94.",https://doi.org/10.1007/s11205-017-1832-9,"Econometric survey of aggregation flaws, showing that equal weighting implicitly assigns higher weight to correlated clusters."
Providing automated explanations can induce user overconfidence through the illusion of explanatory depth,docs/03-construct-audit.md,Strong,"Bansal, G., Wu, T. S., Zhou, J., et al. (2021). Does the whole exceed its parts? The effect of AI explanations on complementary team performance. CHI '21, Article 81, 1-16.",https://doi.org/10.1145/3411764.3445717,Explanations generate a fluency heuristic that induces users to rationalize incorrect AI suggestions.
